date,protocol,asset,chain,best_apy_reward,tvl,tvl_usd,apy_base,apy_reward
2024-06-06,morpho-blue,GTUSDCCORE,Ethereum,1.11687,2213621,2213621,29.4298,1.11687
2024-06-07,morpho-blue,GTUSDCCORE,Ethereum,1.71863,2685301,2685301,22.39534,1.71863
2024-06-08,morpho-blue,GTUSDCCORE,Ethereum,1.40027,4204093,4204093,17.93347,1.40027
2024-06-09,morpho-blue,GTUSDCCORE,Ethereum,2.2781,5543265,5543265,44.07832,2.2781
2024-06-10,aave-v3,USDC,Ethereum,0.0,113890607,113890607,7.44194,0.0
2024-06-11,morpho-blue,GTUSDCCORE,Ethereum,0.22551,4871001,4871001,22.77288,0.22551
2024-06-12,morpho-blue,GTUSDCCORE,Ethereum,0.06866,6571632,6571632,18.32828,0.06866
2024-06-13,aave-v3,USDC,Ethereum,0.0,102746532,102746532,11.77067,0.0
2024-06-14,aave-v3,USDC,Ethereum,0.0,120673708,120673708,7.36127,0.0
2024-06-15,aave-v3,USDC,Ethereum,0.0,131041597,131041597,7.24692,0.0
2024-06-16,aave-v3,USDC,Ethereum,0.0,131313557,131313557,7.24708,0.0
2024-06-17,aave-v3,USDC,Ethereum,0.0,139648106,139648106,7.15784,0.0
2024-06-18,aave-v3,USDC,Ethereum,0.0,181138079,181138079,6.72609,0.0
2024-06-19,aave-v3,USDC,Ethereum,0.0,167322811,167322811,6.86607,0.0
2024-06-20,aave-v3,USDC,Ethereum,0.0,136342133,136342133,7.19988,0.0
2024-06-21,aave-v3,USDC,Ethereum,0.0,141309534,141309534,7.13966,0.0
2024-06-22,aave-v3,USDC,Ethereum,0.0,157659873,157659873,6.97633,0.0
2024-06-23,aave-v3,USDC,Ethereum,0.0,112548080,112548080,7.43405,0.0
2024-06-24,aave-v3,USDC,Ethereum,0.0,119422876,119422876,7.32917,0.0
2024-06-25,aave-v3,USDC,Ethereum,0.0,133375218,133375218,7.18243,0.0
2024-06-26,aave-v3,USDC,Ethereum,0.0,150486571,150486571,7.01275,0.0
2024-06-27,aave-v3,USDC,Ethereum,0.0,199713790,199713790,6.54328,0.0
2024-06-28,aave-v3,USDC,Ethereum,0.0,193948405,193948405,6.59879,0.0
2024-06-29,aave-v3,USDC,Ethereum,0.0,196734790,196734790,6.57371,0.0
2024-06-30,aave-v3,USDC,Ethereum,0.0,171077445,171077445,6.83022,0.0
2024-07-01,morpho-blue,GTUSDCCORE,Ethereum,1.25921,16643666,16643666,9.85404,1.25921
2024-07-02,morpho-blue,GTUSDCCORE,Ethereum,1.13773,18162022,18162022,9.43345,1.13773
2024-07-03,morpho-blue,GTUSDCCORE,Ethereum,1.10331,17909463,17909463,9.45006,1.10331
2024-07-04,morpho-blue,GTUSDCCORE,Ethereum,0.92312,20049890,20049890,9.18081,0.92312
2024-07-05,aave-v3,USDC,Ethereum,0.0,319096190,319096190,5.47216,0.0
2024-07-06,morpho-blue,GTUSDCCORE,Ethereum,0.85891,21238760,21238760,7.49378,0.85891
2024-07-07,morpho-blue,GTUSDCCORE,Ethereum,0.8073,21619568,21619568,7.372,0.8073
2024-07-08,morpho-blue,GTUSDCCORE,Ethereum,0.83154,21362894,21362894,7.39052,0.83154
2024-07-09,morpho-blue,GTUSDCCORE,Ethereum,0.76865,23363456,23363456,7.26997,0.76865
2024-07-10,morpho-blue,GTUSDCCORE,Ethereum,0.54736,25030147,25030147,6.90047,0.54736
2024-07-11,morpho-blue,GTUSDCCORE,Ethereum,0.58279,23870616,23870616,6.82514,0.58279
2024-07-12,morpho-blue,GTUSDCCORE,Ethereum,0.56054,25291285,25291285,6.23432,0.56054
2024-07-13,morpho-blue,GTUSDCCORE,Ethereum,0.57227,25319515,25319515,6.18647,0.57227
2024-07-14,morpho-blue,GTUSDCCORE,Ethereum,0.60533,24669508,24669508,6.24468,0.60533
2024-07-15,aave-v3,USDC,Ethereum,0.0,277248636,277248636,5.80756,0.0
2024-07-16,morpho-blue,GTUSDCCORE,Ethereum,4.23719,24003022,24003022,2.83995,4.23719
2024-07-17,morpho-blue,GTUSDCCORE,Ethereum,0.64896,22043796,22043796,6.90058,0.64896
2024-07-18,morpho-blue,GTUSDCCORE,Ethereum,0.51994,22054181,22054181,6.91594,0.51994
2024-07-19,aave-v3,USDC,Ethereum,0.0,271264209,271264209,5.93459,0.0
2024-07-20,morpho-blue,GTUSDCCORE,Ethereum,0.62146,23969638,23969638,5.98779,0.62146
2024-07-21,morpho-blue,GTUSDCCORE,Ethereum,0.62071,23952658,23952658,5.89043,0.62071
2024-07-22,morpho-blue,GTUSDCCORE,Ethereum,0.6082,23603240,23603240,6.76526,0.6082
2024-07-23,morpho-blue,GTUSDCCORE,Ethereum,0.60188,23428310,23428310,6.40762,0.60188
2024-07-24,morpho-blue,GTUSDCCORE,Ethereum,0.57191,24327263,24327263,6.64631,0.57191
2024-07-25,morpho-blue,GTUSDCCORE,Ethereum,0.36187,28231931,28231931,6.32907,0.36187
2024-07-26,morpho-blue,GTUSDCCORE,Ethereum,0.38223,28154171,28154171,6.29824,0.38223
2024-07-27,morpho-blue,GTUSDCCORE,Ethereum,0.50523,28164231,28164231,6.34617,0.50523
2024-07-28,morpho-blue,GTUSDCCORE,Ethereum,0.53993,28192163,28192163,6.27181,0.53993
2024-07-29,morpho-blue,GTUSDCCORE,Ethereum,0.66795,28617108,28617108,5.98999,0.66795
2024-07-30,morpho-blue,GTUSDCCORE,Ethereum,0.73359,28614666,28614666,6.62795,0.73359
2024-07-31,morpho-blue,GTUSDCCORE,Ethereum,0.8213,27117672,27117672,11.09314,0.8213
2024-08-01,morpho-blue,GTUSDCCORE,Ethereum,0.77476,30817093,30817093,8.29441,0.77476
2024-08-02,morpho-blue,GTUSDCCORE,Ethereum,0.60759,31119619,31119619,6.57315,0.60759
2024-08-03,morpho-blue,GTUSDCCORE,Ethereum,0.56312,32373169,32373169,6.32763,0.56312
2024-08-04,morpho-blue,GTUSDCCORE,Ethereum,0.53907,32474400,32474400,6.1597,0.53907
2024-08-05,morpho-blue,GTUSDCCORE,Ethereum,3.32392,32980379,32980379,17.50456,3.32392
2024-08-06,morpho-blue,GTUSDCCORE,Ethereum,0.89614,37759360,37759360,8.60712,0.89614
2024-08-07,morpho-blue,GTUSDCCORE,Ethereum,1.42283,35851770,35851770,4.43613,1.42283
2024-08-08,morpho-blue,GTUSDCCORE,Ethereum,1.55276,35983167,35983167,4.6519,1.55276
2024-08-09,morpho-blue,GTUSDCCORE,Ethereum,1.54995,35835738,35835738,4.71818,1.54995
2024-08-10,morpho-blue,GTUSDCCORE,Ethereum,1.6795,35848820,35848820,4.70162,1.6795
2024-08-11,morpho-blue,GTUSDCCORE,Ethereum,1.63899,35868474,35868474,4.57138,1.63899
